DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2017,0.117,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2018,116.800,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2019,318.875,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2020,1337.334,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2021,4035.538,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2022,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2023,66.825,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2014,205.833,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2015,63.333,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2016,102.917,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2017,150.417,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2018,102.917,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2019,161.263,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2020,148.438,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2021,136.167,,
