freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,LAST UPDATE
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Georgia,2022,0.519,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Croatia,2014,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Croatia,2015,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Croatia,2016,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Croatia,2017,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Croatia,2018,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Croatia,2019,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Croatia,2020,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Croatia,2021,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Croatia,2022,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Croatia,2023,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Hungary,2014,5200.997,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Hungary,2015,3642.926,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Hungary,2016,4342.704,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Hungary,2017,3181.522,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Hungary,2018,2598.206,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Hungary,2019,2710.898,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Hungary,2020,2198.068,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Hungary,2021,3931.301,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Hungary,2022,1340.607,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Hungary,2023,962.678,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Ireland,2014,4.618,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Ireland,2015,13.266,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Ireland,2016,18.55,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Ireland,2017,7.882,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Ireland,2018,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Ireland,2019,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Ireland,2020,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Ireland,2021,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Ireland,2022,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Ireland,2023,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Iceland,2014,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Iceland,2015,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Iceland,2016,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Iceland,2017,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Iceland,2018,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Iceland,2019,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Iceland,2020,0.0,16/12/24 23:00:00
